"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"36","M","Colback, Jack - NEW","FA","LEIC Sat 3:00PM","285.92","285.92","1","1","90","0","0","2","0","0","0","0","0","0","0","0","10","1","2","1","0","0","0","0","0","0","51","47","92.2","13","8","3","5","6","2","0","0","4","0","1","1","1","1","0","0","1","3","3","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","2","0","14","0","0","0","1","0"
"37","D","Holebas, José - WAT","WW","MUN Sat 12:45PM","285.66","285.66","1","1","90","0","0","1","1","1","1.0","0","0","1","1","0","23","0","0","1","0","0","0","0","0","0","35","23","65.7","10","5","2","3","1","0","0","0","4","0","8","5","2","2","0","0","0","8","3","5","1","0","0","0","0","0","26","0","0","0","0","0","0","0","2","10","10","0","0","0","1","0"
"38","M","Gueye, Idrissa - AVL","FA","@EVE Sat 3:00PM","284.32","284.32","1","1","90","0","0","0","2","1","0.5","0","0","4","4","0","14","2","4","1","0","0","0","0","1","0","51","42","82.4","10","0","0","0","0","0","0","0","3","0","2","1","2","2","0","0","0","11","5","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","11","1","1","0","0","0"
"39","M","Rodwell, Jack - SUN","FA","@CRY Mon 8:00PM","281.82","281.82","1","1","90","0","0","1","1","1","1.0","0","0","3","3","0","12","2","0","1","0","0","0","0","0","0","57","47","82.5","9","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","4","5","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","4","0","20","0","0","1","0","0"
"40","D","Ward, Joel - CRY","FA","SUN Mon 8:00PM","281.76","281.76","1","1","90","0","0","1","1","0","0.0","0","0","3","3","0","15","2","2","0","0","0","0","0","0","0","34","26","76.5","12","2","1","1","0","0","0","0","1","0","7","6","0","0","0","0","0","8","7","3","1","1","0","0","0","0","16","0","0","0","0","0","0","0","1","17","17","0","1","0","0","1"
"41","M","Matic, Nemanja - CHE","FA","NOR Sat 3:00PM","280.88","280.88","1","1","90","0","0","0","1","0","0.0","0","1","4","2","0","11","4","0","0","0","0","0","0","0","0","51","45","88.2","11","3","0","3","0","0","0","0","3","0","0","0","1","1","0","0","0","5","8","0","2","0","0","0","0","0","11","0","0","0","0","0","0","0","2","0","17","0","0","0","1","1"
"42","D","Ivanovic, Branislav - CHE","FA","NOR Sat 3:00PM","280.71","280.71","1","1","90","0","0","0","3","0","0.0","0","1","2","2","0","16","1","0","0","0","0","0","0","0","0","35","25","71.4","12","3","1","2","0","0","0","0","2","0","0","0","2","2","0","1","2","8","9","4","2","0","0","0","0","0","16","0","0","0","0","0","0","0","2","17","17","0","0","0","1","3"
"43","M","Payet, Dimitri - WHU","FA","@TOT Sun 4:00PM","279.8","279.8","1","1","90","0","1","2","1","0","0.0","0","1","2","1","0","15","0","1","0","0","0","0","0","0","0","41","33","80.5","8","4","1","3","4","2","0","0","0","0","0","0","4","4","0","0","0","8","9","1","1","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","22","1","1","0","0","0"
"44","D","Mangala, Eliaquim - MCI","FA","LIV Sat 5:30PM","278.89","278.89","1","1","90","0","0","0","0","0","0","0","0","2","2","0","8","2","1","0","0","0","0","0","0","0","55","49","89.1","3","0","0","0","0","0","0","0","4","1","8","5","0","0","0","0","0","5","3","2","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","9","9","1","1","0","0","1"
"45","D","Muniesa, Marc - STK","FA","@SOU Sat 3:00PM","278.85","278.85","1","1","90","0","0","0","0","0","0","0","0","5","4","0","13","1","2","0","0","0","0","0","0","0","55","47","85.5","4","0","0","0","0","0","0","0","2","1","2","2","0","0","0","0","0","8","6","1","3","0","0","0","0","0","13","0","0","0","0","0","0","0","1","8","8","0","0","1","0","0"
"46","M","Albrighton, Marc - LEIC","FA","@NEW Sat 3:00PM","277.16","277.16","1","1","90","1","2","6","2","1","0.5","0","0","2","1","0","20","1","3","0","0","0","0","0","0","0","35","23","65.7","11","9","4","5","4","0","0","0","2","0","0","0","1","0","0","0","0","5","5","0","2","1","0","0","0","0","20","0","0","0","0","0","0","0","2","0","11","0","1","0","0","0"
"47","D","Kompany, Vincent - MCI","FA","LIV Sat 5:30PM","276.89","276.89","1","1","90","1","0","0","1","1","1.0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","64","57","89.1","3","0","0","0","0","0","0","0","2","0","2","2","0","0","0","0","0","1","3","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","9","9","1","1","0","0","0"
"48","M","Mané, Sadio - SOU","FA","STK Sat 3:00PM","276.81","276.81","1","1","90","0","0","0","3","0","0.0","0","1","0","0","0","21","1","3","0","0","0","0","0","0","2","37","30","81.1","12","0","0","0","0","1","0","0","5","0","0","0","6","4","0","2","0","9","9","2","3","0","0","0","0","0","21","0","0","0","0","0","0","0","2","0","9","0","0","0","1","0"
