"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"36","M","Veretout, Jordan - AVL","WW","CRY Tue 7:45PM","296.81","296.81","1","1","90","0","1","3","1","1","1.0","0","0","1","0","0","20","1","2","0","0","0","0","0","0","0","42","34","81.0","13","12","3","9","7","2","1","0","0","1","0","0","0","1","1","0","0","0","4","8","0","5","0","0","0","0","0","20","0","0","0","0","0","0","0","1","0","8","0","0","0","1"
"37","M","Barkley, Ross - EVE","FA","@MCI Wed 7:45PM","296.37","296.37","1","1","90","0","1","1","5","3","0.6","0","1","2","2","0","17","0","2","0","0","0","0","0","0","0","48","37","77.1","10","1","0","1","1","0","2","0","0","0","0","1","1","10","8","0","0","0","12","4","0","0","0","2","0","0","0","17","0","0","0","0","0","0","0","3","0","10","0","0","1","0"
"38","M","Willian - CHE","FA","WBA Wed 7:45PM","292.47","292.47","1","1","90","0","1","4","3","2","0.7","0","1","0","0","0","14","0","2","0","0","0","0","0","0","0","46","37","80.4","24","4","2","2","2","2","1","0","2","0","0","0","0","3","3","0","0","0","5","7","0","3","1","0","0","0","0","14","0","0","0","0","0","1","0","1","0","11","0","1","0","0"
"39","M","Afellay, Ibrahim - STK","WW","NOR Wed 7:45PM","289.92","289.92","1","1","90","0","0","1","2","0","0.0","0","0","2","2","0","9","1","3","1","0","0","0","0","0","0","60","55","91.7","14","1","0","1","0","0","0","0","0","0","0","1","1","4","2","0","0","0","8","4","1","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","12","0","0","1","0"
"40","D","Wollscheid, Philipp - STK","FA","NOR Wed 7:45PM","287.86","287.86","1","1","90","0","0","0","1","0","0.0","0","1","3","3","0","9","0","0","0","0","0","0","0","0","0","57","49","86.0","3","0","0","0","0","0","0","1","0","2","0","6","5","2","1","0","1","0","10","1","6","0","0","0","0","0","0","10","0","0","0","0","0","0","0","2","12","12","0","0","1","0"
"41","M","Leiva, Lucas - LIV","FA","ARS Wed 8:00PM","287.72","287.72","1","1","90","0","0","0","0","0","0","0","0","4","4","0","20","1","0","0","0","0","0","0","0","0","60","43","71.7","5","1","0","1","0","0","0","0","0","0","0","4","3","0","0","0","1","0","6","6","2","3","0","0","0","0","0","21","0","0","0","0","0","0","0","3","0","6","0","0","1","0"
"42","D","Rangel, Angel - SWA","FA","SUN Wed 7:45PM","286.89","286.89","1","1","69","0","0","1","0","0","0","0","0","3","2","0","11","0","0","0","0","0","0","0","0","0","74","66","89.2","17","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","4","1","1","0","0","0","0","0","0","12","0","1","0","0","0","0","0","0","6","6","1","0","0","1"
"43","D","Clyne, Nathaniel - LIV","FA","ARS Wed 8:00PM","285.7","285.7","1","1","90","0","0","0","1","0","0.0","0","1","1","1","0","23","0","0","0","0","0","0","0","0","0","57","40","70.2","14","4","0","4","0","0","1","1","0","0","0","2","1","0","0","0","1","0","1","2","0","2","0","0","0","0","0","24","0","0","0","0","0","0","0","3","6","6","0","0","1","0"
"44","M","Ritchie, Matt - BOUR","FA","WHU Tue 7:45PM","281.88","281.88","1","1","90","0","0","0","3","0","0.0","0","1","1","1","0","12","1","4","0","0","0","0","0","0","0","52","46","88.5","22","5","1","4","2","0","1","0","0","0","0","1","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","7","0","1","0","0"
"45","D","Dummett, Paul - NEW","FA","MUN Tue 7:45PM","281.61","281.61","1","1","90","0","0","0","0","0","0","0","0","3","3","0","19","1","0","1","0","0","0","0","0","0","41","25","61.0","7","2","1","1","0","0","0","0","0","1","0","4","4","3","2","0","2","0","10","8","5","6","0","0","0","0","0","19","0","0","0","0","0","0","0","1","10","10","0","0","0","1"
