"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"36","D","Bellerín, Héctor - ARS","FA","@NOR Sun 4:15PM","293.85","293.85","1","1","90","0","0","4","0","0","0","0","0","1","1","0","12","0","0","0","0","0","0","0","0","0","53","45","84.9","17","5","2","3","0","1","0","0","3","1","2","1","2","2","0","0","2","4","1","1","0","4","0","0","0","0","13","0","0","0","0","0","0","0","0","8","8","1","1","0","0","0"
"37","D,M","Blind, Daley - MUN","FA","@LEIC Sat 5:30PM","291.85","291.85","1","1","90","1","0","0","1","1","1.0","0","0","3","2","0","11","1","0","0","0","0","0","0","0","0","59","50","84.7","2","3","1","2","0","0","0","0","3","0","8","7","0","0","0","0","1","3","3","0","2","0","0","0","0","0","12","0","0","0","0","0","0","0","1","8","8","0","1","0","0","0"
"38","M","Sissoko, Moussa - NEW","FA","@CRY Sat 3:00PM","291.73","291.73","1","1","90","0","0","4","0","0","0","0","0","3","3","0","21","1","1","0","0","0","0","0","0","0","45","33","73.3","17","5","3","2","1","1","0","0","1","1","0","0","0","0","0","1","0","4","7","0","3","0","0","0","0","0","21","0","0","0","0","0","0","0","2","0","17","0","0","1","0","1"
"39","D","Skrtel, Martin - LIV","FA","SWA Sun 4:15PM","290.82","290.82","1","1","90","0","0","1","1","0","0.0","0","0","1","1","0","13","0","0","0","0","0","0","0","0","0","61","50","82.0","5","1","0","1","0","0","0","0","1","0","8","7","0","0","0","1","2","4","2","3","0","1","0","0","0","0","14","0","0","0","0","0","0","0","3","9","9","0","0","1","0","2"
"40","D","Williams, Ashley - SWA","FA","@LIV Sun 4:15PM","289.95","289.95","1","1","90","0","0","0","0","0","0","0","0","1","1","0","4","1","0","0","0","0","0","0","0","0","57","54","94.7","6","0","0","0","0","0","0","0","1","0","10","8","0","0","0","0","3","3","3","2","2","0","0","0","0","0","6","0","0","0","0","0","0","0","1","17","17","0","0","1","0","0"
"41","M","Westwood, Ashley - AVL","FA","WAT Sat 3:00PM","288.81","288.81","1","1","90","0","0","2","1","0","0.0","0","1","2","2","0","15","4","0","0","0","0","0","0","0","0","47","38","80.9","6","5","3","2","5","2","0","0","3","0","1","1","1","0","0","0","1","2","10","0","2","0","0","0","0","0","15","0","0","0","0","0","0","0","3","0","21","0","0","1","0","0"
"42","M","Colback, Jack - NEW","FA","@CRY Sat 3:00PM","287.88","287.88","1","1","90","0","0","1","1","0","0.0","0","1","4","3","0","12","1","0","1","0","0","0","0","0","0","56","49","87.5","12","2","0","2","2","0","0","0","4","1","0","0","1","0","0","0","0","5","3","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","2","0","17","0","0","1","0","1"
"43","D","Dawson, Craig - WBA","FA","@WHU Sun 2:05PM","283.07","283.07","1","1","90","0","0","1","2","1","0.5","0","0","2","1","0","21","0","1","0","0","0","0","0","0","0","37","21","56.8","10","2","0","2","0","0","0","0","1","0","8","5","0","0","0","1","0","5","4","2","3","0","0","0","0","0","24","0","0","0","0","0","0","0","0","15","15","1","0","0","1","1"
"44","M","Ward-Prowse, James - SOU","FA","@MCI Sat 3:00PM","282.88","282.88","1","1","90","0","0","2","3","0","0.0","0","1","1","0","0","13","1","0","0","0","0","0","0","0","0","52","46","88.5","20","5","1","4","3","0","0","0","1","1","0","0","1","0","0","0","1","2","6","1","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","8","1","0","0","1","0"
"45","D","Federico Fernández - SWA","FA","@LIV Sun 4:15PM","282.87","282.87","1","1","90","0","0","0","2","0","0.0","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","52","45","86.5","2","0","0","0","0","0","0","0","2","0","8","7","0","0","0","0","0","4","3","4","1","0","1","0","0","0","12","0","0","0","0","0","0","0","1","17","17","0","0","1","0","0"
"46","D","Coloccini, Fabricio - NEW","FA","@CRY Sat 3:00PM","281.89","281.89","1","1","90","0","0","0","0","0","0","0","0","3","0","0","7","0","1","0","0","0","0","0","0","0","62","55","88.7","3","0","0","0","0","0","0","0","1","0","3","2","0","0","0","1","1","5","1","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","2","17","17","0","0","1","0","0"
"47","M","Coquelin, Francis - ARS","FA","@NOR Sun 4:15PM","278.88","278.88","1","1","90","0","0","2","2","0","0.0","0","1","6","4","0","8","0","0","0","0","0","0","0","0","0","59","52","88.1","15","0","0","0","0","0","0","0","3","0","1","1","1","1","0","0","0","8","2","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","8","1","1","0","0","0"
"48","D","de Laet, Ritchie - LEIC","FA","MUN Sat 5:30PM","277.8","277.8","1","1","90","1","0","1","1","1","1.0","0","0","8","8","0","13","3","1","0","0","0","0","0","0","0","30","24","80.0","13","1","0","1","0","0","0","0","1","0","2","0","2","1","0","0","2","14","8","4","2","0","0","0","0","0","15","0","0","0","0","0","0","0","2","11","11","0","1","0","0","0"
"49","D","Wisdom, Andre - NOR","FA","ARS Sun 4:15PM","277.66","277.66","1","1","90","0","0","1","0","0","0","0","0","4","4","0","22","1","1","0","0","0","0","0","0","0","50","33","66.0","9","2","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","7","5","2","3","0","0","0","0","0","22","0","0","0","0","0","0","0","1","7","7","0","1","0","0","0"
"50","M","Sánchez, Carlos - AVL","FA","WAT Sat 3:00PM","276.71","276.71","1","1","90","0","0","0","2","0","0.0","0","1","4","4","0","18","1","0","0","0","0","0","0","0","0","48","34","70.8","3","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","8","8","3","2","0","0","0","0","0","18","0","0","0","0","0","0","0","3","0","21","0","0","1","0","0"
"51","F","Sakho, Diafra - WHU","FA","WBA Sun 2:05PM","275.93","275.93","1","1","90","0","0","1","4","1","0.3","0","1","2","2","0","26","0","1","0","0","0","0","0","0","0","31","21","67.7","11","2","1","1","0","1","0","0","0","0","4","4","4","2","0","0","1","8","8","3","0","1","0","0","0","0","26","0","0","0","0","0","0","0","0","0","14","1","1","0","0","0"
"52","D","Hangeland, Brede - CRY","FA","NEW Sat 3:00PM","275.84","275.84","1","1","90","0","0","0","0","0","0","0","0","1","1","0","7","2","0","1","0","0","0","0","0","1","45","38","84.4","2","0","0","0","0","0","0","0","1","0","9","4","0","0","0","0","0","4","5","3","3","0","0","0","0","0","12","0","0","0","0","0","0","0","1","21","21","0","0","1","0","1"
"53","D","Kaboul, Younes - SUN","FA","STK Sat 3:00PM","275.56","275.56","1","1","90","0","0","1","0","0","0","0","0","2","2","0","20","1","1","0","0","0","0","0","0","0","32","18","56.3","2","3","0","3","0","1","0","0","3","1","7","4","1","1","0","0","3","10","3","6","1","0","0","0","0","0","23","0","0","0","0","0","0","0","1","15","15","0","0","1","0","3"
"54","D","Sagna, Bacary - MCI","FA","SOU Sat 3:00PM","274.89","274.89","1","1","90","0","0","0","0","0","0","0","0","2","2","0","10","1","0","0","0","0","0","0","0","0","45","40","88.9","17","2","0","2","0","1","0","0","0","0","5","4","0","0","0","1","0","5","4","3","2","0","0","0","0","0","11","0","0","0","0","0","0","0","0","10","10","1","1","0","0","0"
"55","M","Milner, James - LIV","FA","SWA Sun 4:15PM","273.8","273.8","1","1","90","0","0","2","1","0","0.0","0","0","4","2","0","16","1","0","1","0","0","0","0","0","0","44","35","79.5","14","6","3","3","4","0","0","1","2","0","0","0","1","1","0","0","0","6","4","1","0","0","0","0","0","0","16","0","0","0","0","0","0","0","3","0","9","0","0","1","0","0"
"56","M","Carrick, Michael - MUN","FA","@LEIC Sat 5:30PM","272.93","272.93","1","1","72","0","0","1","0","0","0","0","0","3","2","0","7","0","1","0","0","0","0","0","0","0","71","66","93.0","19","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","2","1","2","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","4","0","1","0","0","1"
"57","M","M'Vila, Yann - SUN","WW","STK Sat 3:00PM","272.83","272.83","1","1","90","0","0","2","0","0","0","0","0","5","5","0","14","0","0","0","0","0","0","0","0","0","42","35","83.3","8","6","1","5","4","1","0","0","2","0","4","4","0","0","0","0","0","7","2","2","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","15","0","0","1","0","0"
"58","D","Richards, Micah - AVL","FA","WAT Sat 3:00PM","271.86","271.86","1","1","90","0","1","2","1","0","0.0","0","1","2","1","0","8","0","1","0","0","0","0","0","0","0","36","31","86.1","1","0","0","0","0","0","0","0","3","0","11","9","0","0","0","0","2","9","1","6","0","0","0","0","0","0","10","0","0","0","0","0","0","0","3","21","21","0","0","1","0","1"
"59","D","Davies, Ben - TOT","FA","CHE Sun 12:00PM","271.83","271.83","1","1","90","0","0","1","0","0","0","0","0","2","2","0","14","1","1","0","0","0","0","0","0","0","48","40","83.3","8","3","0","3","0","0","0","0","3","0","2","1","0","0","0","1","0","3","2","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","12","12","1","1","0","0","0"
"60","D","Smith, Adam - BOUR","FA","EVE Sat 3:00PM","271.83","271.83","1","1","90","0","0","1","0","0","0","0","0","1","1","0","14","1","1","1","0","0","0","0","0","0","47","39","83.0","10","2","1","1","1","0","0","0","1","0","1","1","3","2","0","0","0","6","4","2","0","0","0","0","0","0","14","0","0","0","0","0","0","0","3","12","12","0","0","1","0","0"
"61","D","Haidara, Massadio - NEW","FA","@CRY Sat 3:00PM","270.86","270.86","1","1","90","0","0","0","2","0","0.0","0","1","1","1","0","13","2","0","0","0","0","0","0","0","0","37","32","86.5","6","7","2","5","0","2","0","0","3","0","3","1","0","0","0","0","0","2","7","1","1","0","0","0","0","0","15","0","0","0","0","0","0","0","2","17","17","0","0","1","0","0"
